timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_altitude,target_z
6.86141,-0.0348073,-0.121074,-0.5,-0.5,0.0243651,0.084752,2.58432,-2.07505,2.61913,-1.95398,3.44756,0.5
6.87768,-0.0362607,-0.121927,-0.5,-0.5,0.0253825,0.0853488,2.58286,-2.0759,2.61913,-1.95398,3.44756,0.5
6.89743,-0.0392204,-0.134189,-0.5,-0.5,0.0274543,0.0939324,2.57856,-2.07827,2.61778,-1.94408,3.43295,0.5
6.91743,-0.0432797,-0.136441,-0.5,-0.5,0.0302958,0.0955085,2.5745,-2.08052,2.61778,-1.94408,3.43295,0.5
6.94297,-0.0384192,-0.138782,-0.5,-0.5,0.0268934,0.0971471,2.57307,-2.08122,2.61148,-1.94244,3.39535,0.5
6.96141,-0.0422949,-0.142116,-0.5,-0.5,0.0296064,0.0994814,2.56919,-2.08456,2.61148,-1.94244,3.39535,0.5
6.98084,-0.0290657,-0.140059,-0.5,-0.5,0.020346,0.0980413,2.56793,-2.08584,2.597,-1.94578,3.37205,0.5
7.00253,-0.0328184,-0.143761,-0.5,-0.5,0.0229729,0.100632,2.56418,-2.08954,2.597,-1.94578,3.37205,0.5
7.0174,-0.0362424,-0.147239,-0.5,-0.5,0.0253697,0.103067,2.56076,-2.09302,2.597,-1.94578,3.37205,0.5
7.03742,-0.0235682,-0.140172,-0.5,-0.5,0.0164977,0.0981201,2.55853,-2.09517,2.58209,-1.95499,3.37323,0.5
7.05739,-0.0247505,-0.141201,-0.5,-0.5,0.0173254,0.0988404,2.55734,-2.09619,2.58209,-1.95499,3.37323,0.5
7.07745,-0.0304809,-0.140541,-0.5,-0.5,0.0213366,0.0983788,2.55524,-2.09819,2.58572,-1.95765,3.39479,0.5
7.09769,-0.0335336,-0.143365,-0.5,-0.5,0.0234735,0.100356,2.55219,-2.10102,2.58572,-1.95765,3.39479,0.5
7.11742,-0.0369559,-0.145605,-0.5,-0.5,0.0258691,0.101924,2.54876,-2.10326,2.58572,-1.95765,3.39479,0.5
7.14879,-0.0353003,-0.128375,-0.5,-0.5,0.0247102,0.0898627,2.54743,-2.10367,2.58273,-1.9753,3.34833,0.5
7.15737,-0.0391779,-0.129559,-0.5,-0.5,0.0274245,0.090691,2.54355,-2.10486,2.58273,-1.9753,3.34833,0.5
7.17737,-0.056379,-0.124204,-0.5,-0.5,0.0394653,0.086943,2.54109,-2.10557,2.59747,-1.98136,3.34787,0.5
7.19771,-0.0585846,-0.124868,-0.5,-0.5,0.0410092,0.0874078,2.53888,-2.10623,2.59747,-1.98136,3.34787,0.5
7.21761,-0.0631703,-0.123392,-0.5,-0.5,0.0442192,0.0863744,2.5343,-2.10476,2.59747,-1.98136,3.34787,0.5
7.23826,-0.0585533,-0.133792,-0.5,-0.5,0.0409873,0.0936544,2.53134,-2.10381,2.58989,-1.97002,3.31469,0.5
7.25763,-0.0613004,-0.132825,-0.5,-0.5,0.0429102,0.0929777,2.52859,-2.10284,2.58989,-1.97002,3.31469,0.5
7.27734,-0.0717935,-0.139917,-0.5,-0.5,0.0502555,0.0979418,2.52595,-2.10183,2.59774,-1.96191,3.29042,0.5
7.2973,-0.0755658,-0.138305,-0.5,-0.5,0.0528961,0.0968133,2.52218,-2.10022,2.59774,-1.96191,3.29042,0.5
7.31728,-0.0753971,-0.14746,-0.5,-0.5,0.052778,0.103222,2.51991,-2.09911,2.59531,-1.95165,3.2786,0.5
7.33958,-0.0773043,-0.146246,-0.5,-0.5,0.054113,0.102372,2.518,-2.0979,2.59531,-1.95165,3.2786,0.5
7.35727,-0.0780743,-0.161954,-0.5,-0.5,0.054652,0.113368,2.51245,-2.09422,2.59052,-1.93227,3.24425,0.5
7.37725,-0.083093,-0.158329,-0.5,-0.5,0.0581651,0.110831,2.50743,-2.0906,2.59052,-1.93227,3.24425,0.5
7.39903,-0.0895736,-0.169477,-0.5,-0.5,0.0627015,0.118634,2.50425,-2.0881,2.59383,-1.91863,3.28154,0.5
